base_notional,fills,gross_payout,idx,kurtosis,largest_loss,largest_win,largest_win_to_pnl_ratio,markets,max_abs_raw_net_contracts,max_drawdown,max_seconds_to_close,max_ticket_price,min_seconds_to_close,min_ticket_price,profit_factor,realized_pnl,returncode,run_dir,run_id,sharpe,side_mode,signals,skewness,snapshots,status,stderr_tail,stdout_tail,total_cost,win_rate
5.0,213,0.0,1,1.0,-5.0,0.0,,213,5000.0,1065.0,60,0.003,30,0.001,0.0,-1065.0,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n5p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n5p0,-1.037445929787116e+16,cheapest,4915,1.0,28829,ok,,"ired_leftover_pnl"": -1065.0, ""unpaired_no_pnl"": -560.0, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 246083.333342, ""cost"": 560.0, ""payout"": 0.0, ""pnl"": -560.0}, ""yes:00-02m"": {""contracts"": 241539.68255, ""cost"": 505.0, ""payout"": 0.0, ""pnl"": -505.0}}, ""unpaired_yes_pnl"": -505.0}, ""realized_pnl"": -1065.0, ""settled_markets"": 213, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 1065.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n5p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n5p0"", ""settled_positions"": 213, ""settlements_from_feed_db"": true, ""signals"": 4915, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",1065.0,0.0
10.0,213,0.0,2,1.0,-10.0,0.0,,213,10000.0,2130.0,60,0.003,30,0.001,0.0,-2130.0,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n10p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n10p0,-1.037445929787116e+16,cheapest,4915,1.0,28829,ok,,"tover_pnl"": -2130.0, ""unpaired_no_pnl"": -1120.0, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 492166.666659, ""cost"": 1120.0, ""payout"": 0.0, ""pnl"": -1120.0}, ""yes:00-02m"": {""contracts"": 483079.36507, ""cost"": 1010.0, ""payout"": 0.0, ""pnl"": -1010.0}}, ""unpaired_yes_pnl"": -1010.0}, ""realized_pnl"": -2130.0, ""settled_markets"": 213, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 2130.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n10p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-cheapest-n10p0"", ""settled_positions"": 213, ""settlements_from_feed_db"": true, ""signals"": 4915, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",2130.0,0.0
5.0,112,0.0,3,1.0,-5.0,0.0,,112,5000.0,560.0,60,0.003,30,0.001,0.0,-560.0,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n5p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n5p0,-7117254947317810.0,no_only,2226,-1.0,28829,ok,,"ompleted_pair_pnl"": 0.0, ""unpaired_leftover_cost"": 560.0, ""unpaired_leftover_payout"": 0.0, ""unpaired_leftover_pnl"": -560.0, ""unpaired_no_pnl"": -560.0, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 246083.333342, ""cost"": 560.0, ""payout"": 0.0, ""pnl"": -560.0}}, ""unpaired_yes_pnl"": 0.0}, ""realized_pnl"": -560.0, ""settled_markets"": 112, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 560.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n5p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n5p0"", ""settled_positions"": 112, ""settlements_from_feed_db"": true, ""signals"": 2226, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",560.0,0.0
10.0,112,0.0,4,1.0,-10.0,0.0,,112,10000.0,1120.0,60,0.003,30,0.001,0.0,-1120.0,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n10p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n10p0,-7117254947317810.0,no_only,2226,-1.0,28829,ok,,"pair_pnl"": 0.0, ""unpaired_leftover_cost"": 1120.0, ""unpaired_leftover_payout"": 0.0, ""unpaired_leftover_pnl"": -1120.0, ""unpaired_no_pnl"": -1120.0, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 492166.666659, ""cost"": 1120.0, ""payout"": 0.0, ""pnl"": -1120.0}}, ""unpaired_yes_pnl"": 0.0}, ""realized_pnl"": -1120.0, ""settled_markets"": 112, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 1120.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n10p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-no_only-n10p0"", ""settled_positions"": 112, ""settlements_from_feed_db"": true, ""signals"": 2226, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",1120.0,0.0
5.0,101,0.0,5,1.0,-5.0,0.0,,101,5000.0,505.0,60,0.003,30,0.001,0.0,-505.0,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n5p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n5p0,-7588013268436616.0,yes_only,2689,-1.0,28829,ok,,"pleted_pair_pnl"": 0.0, ""unpaired_leftover_cost"": 505.0, ""unpaired_leftover_payout"": 0.0, ""unpaired_leftover_pnl"": -505.0, ""unpaired_no_pnl"": 0.0, ""unpaired_time_buckets"": {""yes:00-02m"": {""contracts"": 241539.68255, ""cost"": 505.0, ""payout"": 0.0, ""pnl"": -505.0}}, ""unpaired_yes_pnl"": -505.0}, ""realized_pnl"": -505.0, ""settled_markets"": 101, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 505.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n5p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n5p0"", ""settled_positions"": 101, ""settlements_from_feed_db"": true, ""signals"": 2689, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",505.0,0.0
10.0,101,0.0,6,1.0,-10.0,0.0,,101,10000.0,1010.0,60,0.003,30,0.001,0.0,-1010.0,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n10p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n10p0,-7588013268436616.0,yes_only,2689,-1.0,28829,ok,,"ir_pnl"": 0.0, ""unpaired_leftover_cost"": 1010.0, ""unpaired_leftover_payout"": 0.0, ""unpaired_leftover_pnl"": -1010.0, ""unpaired_no_pnl"": 0.0, ""unpaired_time_buckets"": {""yes:00-02m"": {""contracts"": 483079.36507, ""cost"": 1010.0, ""payout"": 0.0, ""pnl"": -1010.0}}, ""unpaired_yes_pnl"": -1010.0}, ""realized_pnl"": -1010.0, ""settled_markets"": 101, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 1010.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n10p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p003-min0p001-yes_only-n10p0"", ""settled_positions"": 101, ""settlements_from_feed_db"": true, ""signals"": 2689, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",1010.0,0.0
5.0,244,35.71428571428571,7,242.00411522634425,-5.0,30.714285714285708,,244,5000.0,1184.2857142857142,60,0.005,30,0.001,0.025279247501469718,-1184.2857142857142,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n5p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n5p0,-33.6992223483757,cheapest,4876,15.524307238210259,28829,ok,,"ed_no_pnl"": -604.2857142857142, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 229023.809529, ""cost"": 640.0, ""payout"": 35.714286, ""pnl"": -604.285714}, ""yes:00-02m"": {""contracts"": 226487.789993, ""cost"": 580.0, ""payout"": 0.0, ""pnl"": -580.0}}, ""unpaired_yes_pnl"": -580.0}, ""realized_pnl"": -1184.2857142857142, ""settled_markets"": 244, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 1220.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n5p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n5p0"", ""settled_positions"": 244, ""settlements_from_feed_db"": true, ""signals"": 4876, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",1220.0,0.004098360655737705
10.0,244,71.42857142857142,8,242.00411522634425,-10.0,61.428571428571416,,244,10000.0,2368.5714285714284,60,0.005,30,0.001,0.025279247501469718,-2368.5714285714284,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n10p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n10p0,-33.6992223483757,cheapest,4876,15.524307238210259,28829,ok,,"l"": -1208.5714285714284, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 458047.619043, ""cost"": 1280.0, ""payout"": 71.428571, ""pnl"": -1208.571429}, ""yes:00-02m"": {""contracts"": 452975.579972, ""cost"": 1160.0, ""payout"": 0.0, ""pnl"": -1160.0}}, ""unpaired_yes_pnl"": -1160.0}, ""realized_pnl"": -2368.5714285714284, ""settled_markets"": 244, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 2440.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n10p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-cheapest-n10p0"", ""settled_positions"": 244, ""settlements_from_feed_db"": true, ""signals"": 4876, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",2440.0,0.004098360655737705
5.0,128,35.71428571428571,9,126.00787401574821,-5.0,30.714285714285708,,128,5000.0,604.2857142857142,60,0.005,30,0.001,0.0483689538807649,-604.2857142857142,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n5p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n5p0,-23.740816119080606,no_only,2182,11.180692018642944,28829,ok,,"paired_leftover_payout"": 35.71428571428571, ""unpaired_leftover_pnl"": -604.2857142857142, ""unpaired_no_pnl"": -604.2857142857142, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 229023.809529, ""cost"": 640.0, ""payout"": 35.714286, ""pnl"": -604.285714}}, ""unpaired_yes_pnl"": 0.0}, ""realized_pnl"": -604.2857142857142, ""settled_markets"": 128, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 640.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n5p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n5p0"", ""settled_positions"": 128, ""settlements_from_feed_db"": true, ""signals"": 2182, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",640.0,0.0078125
10.0,128,71.42857142857142,10,126.00787401574821,-10.0,61.428571428571416,,128,10000.0,1208.5714285714284,60,0.005,30,0.001,0.0483689538807649,-1208.5714285714284,0,/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n10p0,late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n10p0,-23.740816119080606,no_only,2182,11.180692018642944,28829,ok,,"eftover_payout"": 71.42857142857142, ""unpaired_leftover_pnl"": -1208.5714285714284, ""unpaired_no_pnl"": -1208.5714285714284, ""unpaired_time_buckets"": {""no:00-02m"": {""contracts"": 458047.619043, ""cost"": 1280.0, ""payout"": 71.428571, ""pnl"": -1208.571429}}, ""unpaired_yes_pnl"": 0.0}, ""realized_pnl"": -1208.5714285714284, ""settled_markets"": 128, ""settlement_sources"": [""kalshi_api""], ""total_cost"": 1280.0}, ""reference_price_provenance"": {""composite_60s_reference_ticks"": 0, ""requested_source"": ""single_venue"", ""single_venue_ticks"": 28829, ""warnings"": []}, ""reference_price_source"": ""single_venue"", ""run_dir"": ""/home/matt/workspace/kalshi-btc-15m-bot/runs/late_lotto_ticket/late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n10p0"", ""run_id"": ""late-lotto-sweep-20260522T134139Z-w30-60-p0p005-min0p001-no_only-n10p0"", ""settled_positions"": 128, ""settlements_from_feed_db"": true, ""signals"": 2182, ""snapshots"": 28829, ""starting_bankroll"": 10000.0, ""strategy"": ""late_lotto_ticket"", ""venue"": ""kalshi""}
",1280.0,0.0078125
