strategy,run_id,exchange,datafeed,feed_db,fills,notional,realized_pnl,completed_pair_pnl,unpaired_leftover_pnl,paired_locked_edge,max_abs_raw_net_contracts,profit_factor,sharpe,max_drawdown,settlement_source,fill_timing,settlements_from_feed_db,strategy_params,run_dir
simple_directional,all-strategies-20260517T033359Z-simple_directional,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,38251,956275.0,297561.371328,0,0,0,0,2.452404,0.976578,23218.032893,replay_final_snapshot,,false,{},runs/simple_directional/all-strategies-20260517T033359Z-simple_directional
late_window_only,all-strategies-20260517T033359Z-late_window_only,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,239,5975.0,44089.72812,0,0,0,0,16.203355,3.8912,1550.0,replay_final_snapshot,,false,{},runs/late_window_only/all-strategies-20260517T033359Z-late_window_only
simple_directional,audit-simple_directional-next-tick-1778989961,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,38400,960000.0,16254.446382,0,0,0,0,1.076196,0.424291,19080.000203,mixed,next-tick,true,{},runs/simple_directional/audit-simple_directional-next-tick-1778989961
simple_directional,audit2-simple_directional-next-tick-1778990033,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,38453,961325.0,16254.446382,0,0,0,0,1.076196,0.432577,19080.000203,mixed,next-tick,true,{},runs/simple_directional/audit2-simple_directional-next-tick-1778990033
simple_directional,all-strategies-nexttick-simple_directional-1778995478,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,40892,1022300.0,16219.24373,0,0,-60444.972853,619967.903204,1.075968,0.431385,19105.000203,mixed,next-tick,true,{},runs/simple_directional/all-strategies-nexttick-simple_directional-1778995478
simple_directional,audit-simple_directional-same-tick-1778989944,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,38738,968450.0,15788.890131,0,0,0,0,1.072751,0.406896,19131.724002,mixed,same-tick,true,{},runs/simple_directional/audit-simple_directional-same-tick-1778989944
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T021230Z-validation-020,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,4694,46940.0,4012.591544,9547.891268,-5535.299724,12082.396187,7120.881482,1.160568,1.042801,6520.306609,mixed,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.02, ""force_flatten_seconds"": 30.0, ""max_atr_slope"": 0.75, ""max_net_ratio"": 0.5, ""max_wickiness"": 0.9, ""min_seconds_to_close"": 60.0, ""min_volatility"": 1.0}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T021230Z-validation-020
volatility_inventory,all-strategies-nexttick-volatility_inventory-1778995478,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,15181,368648.828125,2339.385079,0,0,22509.313382,3188126.716425,1.007083,0.015002,265704.669084,mixed,next-tick,true,{},runs/volatility_inventory/all-strategies-nexttick-volatility_inventory-1778995478
simple_directional,improved-20260516T055637Z,kalshi,kalshi-btc-1s,feed/kalshi-btc-1s.sqlite3,100,2500.0,1516.165381,0,0,0,0,7.064662,15.485911,250.0,replay_final_snapshot,,false,{},runs/simple_directional/improved-20260516T055637Z
strategy_probability_mm_v0,kalshi-prob-mm-opt-20260520T014359Z-validation-009,kalshi,kalshi-btc-1s,/home/matt/workspace/kalshi-btc-15m-bot/feed/kalshi-btc-1s.sqlite3,4149,41421.954431,1483.010266,9132.29241,-7649.282145,11080.352874,6269.391365,1.072529,0.462578,6000.883372,mixed,next-tick,true,"{""base_notional"": 10.0, ""edge_threshold"": 0.03, ""force_flatten_seconds"": 60.0, ""max_atr_slope"": 1.5, ""max_net_ratio"": 0.5, ""max_wickiness"": 0.75, ""min_seconds_to_close"": 30.0, ""min_volatility"": 1.0}",/home/matt/workspace/kalshi-btc-15m-bot/runs/strategy_probability_mm_v0/kalshi-prob-mm-opt-20260520T014359Z-validation-009
